Age_final,Body_found,Deck Name,Destination,Gender,Lifeboat,Number of parents/children aboard,Number of siblings/spouses aboard,Passenger class,Point of embarkation,Survived
62,Not found,Unknown,"Cambridge, MA",Male,Not boarded,0,0,2,Queenstown,0
55,Not found,Unknown,"Cape Town, South Africa / Seattle, WA",Female,14,3,1,4,Southampton,2
60,Not found,Unknown,"Cape Town, South Africa / Seattle, WA",Male,Not boarded,1,1,2,Southampton,0
19,Not found,Unknown,"Chelsea, London",Male,B,0,0,2,Southampton,1
29.87093690248566,Not found,Unknown,"Chicago, IL",Male,Not boarded,0,0,1,Cherbourg,0
30,Not found,Unknown,"Co Athlone, Ireland New York, NY",Female,15,0,0,3,Queenstown,1
29,Not found,Unknown,"Co Athlone, Ireland New York, NY",Male,13 15 B,0,0,3,Queenstown,1
29.87093690248566,Not found,Unknown,"Co Clare, Ireland Washington, DC",Female,13,0,0,3,Queenstown,1
19,Not found,Unknown,"Co Cork, Ireland Charlestown, MA",Male,Not boarded,0,0,3,Queenstown,0
24,Not found,Unknown,"Co Limerick, Ireland Sherbrooke, PQ",Male,Not boarded,0,0,3,Queenstown,0
32,Not found,Unknown,"Co Longford, Ireland New York, NY",Female,16,0,0,6,Queenstown,2
37,Not found,Unknown,"Co Sligo, Ireland Hartford, CT",Female,Not boarded,0,0,3,Queenstown,0
18,Not found,Unknown,"Co Sligo, Ireland New York, NY",Female,Not boarded,0,0,3,Queenstown,0
28,Not found,Unknown,"Columbus, OH",Female,Not boarded,0,0,2,Southampton,1
45,Not found,Unknown,"Cooperstown, NY",Female,4,0,0,1,Cherbourg,1
82,Not found,Unknown,Cornwall,Male,Not boarded,0,0,4,Southampton,0
33,Not found,Unknown,"Cornwall / Akron, OH",Female,14,3,1,4,Southampton,2
98,Not found,Unknown,"Cornwall / Akron, OH",Female,4,7,5,6,Southampton,3
2,Not found,Unknown,"Cornwall / Akron, OH",Male,14,1,1,2,Southampton,1
4,Not found,Unknown,"Cornwall / Akron, OH",Male,4,2,2,4,Southampton,2
23,Not found,Unknown,"Cornwall / Akron, OH",Male,Not boarded,1,2,2,Southampton,0
42,Not found,Unknown,"Cornwall / Camden, NJ",Male,Not boarded,0,2,4,Southampton,0
72,Not found,Unknown,"Cornwall / Clear Creek, CO",Male,Not boarded,0,2,4,Southampton,0
20,Not found,Unknown,"Cornwall / Hancock, MI",Female,11,0,0,2,Southampton,1
43,Not found,Unknown,"Cornwall / Houghton, MI",Male,Not boarded,0,0,4,Southampton,0
29,Not found,Unknown,"Cornwall / Spokane, WA",Female,Not boarded,0,1,2,Southampton,0
25,Not found,Unknown,"Cornwall, England Houghton, MI",Male,Not boarded,0,0,2,Southampton,0
38,Not found,Unknown,Croatia,Male,Not boarded,0,0,3,Southampton,0
28,Not found,Unknown,"Dagsas, Sweden Fower, MN",Male,Not boarded,0,0,3,Southampton,0
25,Not found,Unknown,"Deer Lodge, MT",Female,12,1,0,2,Southampton,1
34,Not found,Unknown,"Denmark / New York, NY",Male,Not boarded,0,0,2,Southampton,0
6,Not found,Unknown,"Denmark Hill, Surrey / Chicago",Female,11,1,0,2,Southampton,1
28,Not found,Unknown,"Denmark Hill, Surrey / Chicago",Male,Not boarded,1,0,2,Southampton,0
24,Not found,Unknown,"Detroit, MI",Female,4,2,0,2,Southampton,1
1,Not found,Unknown,"Detroit, MI",Male,4,1,1,2,Southampton,1
33,Not found,Unknown,"Devon, England Wichita, KS",Female,10,4,2,6,Southampton,2
1,Not found,Unknown,"Devon, England Wichita, KS",Male,10,2,1,3,Southampton,1
26,Not found,Unknown,"Devon, England Wichita, KS",Male,Not boarded,2,1,3,Southampton,0
36,Not found,Unknown,"Devonport, England",Male,Not boarded,0,0,2,Southampton,0
51,Not found,Unknown,"Dorking, Surrey, England",Male,Not boarded,0,0,3,Southampton,0
21,Not found,Unknown,"Duluth, MN",Female,8 10,0,0,1,Southampton,1
35,Not found,Unknown,"East Providence, RI",Female,A,1,1,3,Southampton,1
13,Not found,Unknown,"East Providence, RI",Male,Not boarded,2,0,3,Southampton,0
45,Not found,Unknown,"Effington Rut, SD",Male,Not boarded,0,0,3,Southampton,0
30,Not found,Unknown,"Elizabeth, NJ",Female,Not boarded,0,3,2,Southampton,1
34,Not found,Unknown,"Elizabeth, NJ",Male,12,0,1,2,Southampton,0
26,Not found,Unknown,"Elmira, NY / Orange, NJ",Male,Not boarded,0,0,2,Southampton,0
47,Not found,Unknown,England,Male,Not boarded,0,0,5,Southampton,0
54,Not found,Unknown,"England / Bennington, VT",Female,14,2,0,4,Southampton,2
23,Not found,Unknown,"England / Detroit, MI",Male,Not boarded,0,0,2,Southampton,0
29,Not found,Unknown,"England / Sacramento, CA",Female,10,0,1,2,Southampton,1
44,Not found,Unknown,"England / Sacramento, CA",Male,Not boarded,0,1,2,Southampton,0
28,Not found,Unknown,"England / San Francisco, CA",Female,14,0,1,2,Southampton,1
29,Not found,Unknown,"England / San Francisco, CA",Male,Not boarded,0,1,2,Southampton,0
24,Not found,Unknown,"England Albion, NY",Male,D,0,0,3,Southampton,1
26,Not found,Unknown,"England Albion, NY",Male,Not boarded,0,0,3,Southampton,0
36,Not found,Unknown,"England Brooklyn, NY",Female,2,2,0,3,Southampton,1
12,Not found,Unknown,"England Brooklyn, NY",Male,2,2,2,6,Southampton,2
22,Not found,Unknown,"England New York, NY",Male,Not boarded,0,0,3,Southampton,0
19,Not found,Unknown,"England Oglesby, IL",Male,B,0,0,3,Southampton,1
60,Not found,Unknown,"England Salt Lake City, Utah",Male,Not boarded,0,0,1,Southampton,0
18,Not found,Unknown,"Finland / Minneapolis, MN",Female,16,2,0,2,Southampton,1
30,Not found,Unknown,"Finland / Washington, DC",Female,10,0,0,2,Southampton,1
41,Not found,Unknown,"Finland Sudbury, ON",Male,Not boarded,0,0,3,Southampton,0
32,Not found,Unknown,"Foresvik, Norway Portland, ND",Male,Not boarded,0,0,3,Southampton,0
54,Not found,Unknown,"Frankfort, KY",Male,Not boarded,0,0,2,Southampton,0
29.87093690248566,Not found,Unknown,"Gallipolis, Ohio / ? Paris / New York",Male,Not boarded,0,0,1,Cherbourg,0
21,Not found,Unknown,"Geneva, Switzerland / Radnor, PA",Male,A,1,0,1,Cherbourg,1
51,Not found,Unknown,"Geneva, Switzerland / Radnor, PA",Male,Not boarded,1,0,1,Cherbourg,0
57,Not found,Unknown,"Glasgow / Bangor, ME",Male,Not boarded,0,0,2,Queenstown,0
21,Not found,Unknown,"Goteborg, Sweden / Rockford, IL",Male,Not boarded,0,0,2,Southampton,0
24,Not found,Unknown,"Goteborg, Sweden Huntley, IL",Male,Not boarded,0,0,3,Southampton,0
44,Not found,Unknown,Greece,Male,Not boarded,0,2,6,Cherbourg,0
34,Not found,Unknown,"Greenport, NY",Female,10,1,1,2,Southampton,1
8,Not found,Unknown,"Greenport, NY",Male,10,2,0,2,Southampton,1
42,Not found,Unknown,"Greenport, NY",Male,Not boarded,1,1,2,Southampton,0
18,Not found,Unknown,"Greensburg, PA",Female,C,0,0,3,Cherbourg,1
17,Not found,Unknown,Guernsey,Female,Not boarded,0,0,2,Southampton,1
23,Not found,Unknown,Guernsey,Male,Not boarded,0,0,2,Southampton,0
97,Not found,Unknown,"Guernsey / Elizabeth, NJ",Male,Not boarded,0,4,8,Southampton,0
70,Not found,Unknown,"Guernsey / Montclair, NJ and/or Toledo, Ohio",Male,Not boarded,0,0,2,Southampton,0
21,Not found,Unknown,"Guernsey / Wilmington, DE",Female,12,0,0,2,Southampton,1
66,Not found,Unknown,"Guernsey, England / Edgewood, RI",Male,Not boarded,0,0,2,Southampton,0
19,Not found,Unknown,"Gunnislake, England / Butte, MT",Male,Not boarded,0,0,2,Southampton,0
16,Not found,Unknown,"Halesworth, England",Male,Not boarded,0,0,2,Southampton,0
30,Not found,Unknown,"Halifax, NS",Female,13,0,0,2,Queenstown,1
62,Not found,Unknown,"Halifax, NS",Male,Not boarded,0,0,1,Southampton,0
23,Not found,Unknown,"Hamilton, ON",Male,Not boarded,0,0,2,Southampton,0
29.87093690248566,Not found,Unknown,"Harrow, England",Male,14,0,0,2,Southampton,1
39,Not found,Unknown,"Harrow-on-the-Hill, Middlesex",Male,Not boarded,0,0,2,Southampton,0
26,Not found,Unknown,"Hartford, CT",Male,Not boarded,0,0,3,Southampton,0
29,Not found,Unknown,"Hartford, Huntingdonshire",Male,Not boarded,0,0,2,Southampton,0
28,Not found,Unknown,"Helsinki, Finland Ashtabula, Ohio",Male,Not boarded,0,0,2,Southampton,0
54,Not found,Unknown,"Holley, NY",Male,Not boarded,0,0,2,Southampton,0
29.87093690248566,Not found,Unknown,"Hong Kong New York, NY",Male,13,0,0,3,Southampton,1
64,Not found,Unknown,"Hong Kong New York, NY",Male,C,0,0,6,Southampton,2
27,Not found,Unknown,"Hornsey, England",Male,Not boarded,0,0,2,Southampton,0
52,Not found,Unknown,"Ilford, Essex / Winnipeg, MB",Female,14,3,1,4,Southampton,2
43,Not found,Unknown,"Ilford, Essex / Winnipeg, MB",Male,Not boarded,1,1,2,Southampton,0
21,Not found,Unknown,"Ilfracombe, Devon",Female,12,1,0,2,Southampton,1
43,Not found,Unknown,"Ilfracombe, Devon",Male,Not boarded,1,0,2,Southampton,0
47,Not found,Unknown,"Illinois, USA",Male,Not boarded,0,0,3,Southampton,0
22,Not found,Unknown,"India / Pittsburgh, PA",Female,Not boarded,0,0,2,Southampton,0
55,Not found,Unknown,"India / Rapid City, SD",Female,13,0,0,2,Southampton,1
50,Not found,Unknown,"Indianapolis, IN",Female,9,0,0,2,Southampton,1
35,Not found,Unknown,"Indianapolis, IN",Male,15,0,0,1,Cherbourg,1
22,Not found,Unknown,Ireland,Female,13,0,0,3,Queenstown,1
30,Not found,Unknown,Ireland,Female,Not boarded,0,0,3,Queenstown,0
29.87093690248566,Not found,Unknown,Ireland,Male,Not boarded,0,0,3,Queenstown,0
31,Not found,Unknown,"Ireland Brooklyn, NY",Male,Not boarded,0,0,3,Queenstown,0
61.87093690248566,Not found,Unknown,"Ireland Chicago, IL",Female,Not boarded,3,1,6,Queenstown,0
66,Not found,Unknown,"Ireland Chicago, IL",Male,Not boarded,1,1,6,Queenstown,0
24,Not found,Unknown,"Ireland New York, NY",Female,Not boarded,0,0,3,Queenstown,0
82.87093690248565,Not found,Unknown,"Ireland New York, NY",Male,Not boarded,0,0,9,Queenstown,0
21,Not found,Unknown,"Ireland Philadelphia, PA",Male,Not boarded,0,0,3,Queenstown,0
29.87093690248566,Not found,Unknown,"Italy Philadelphia, PA",Male,15,0,0,3,Southampton,1
38,Not found,Unknown,"Janjgir, India / Pennsylvania",Female,Not boarded,0,0,2,Southampton,0
16,Not found,Unknown,"Karberg, Sweden Jerome Junction, AZ",Male,Not boarded,0,0,3,Southampton,0
19,Not found,Unknown,"Kilmacowen, Co Sligo, Ireland New York, NY",Female,C,0,0,3,Queenstown,1
22,Not found,Unknown,"Kingwilliamstown, Co Cork, Ireland Glens Falls, NY",Female,13,0,0,3,Queenstown,1
21,Not found,Unknown,"Kingwilliamstown, Co Cork, Ireland New York, NY",Male,13,0,0,3,Queenstown,1
18,Not found,Unknown,"Kontiolahti, Finland / Detroit, MI",Female,Not boarded,1,1,2,Southampton,0
23,Not found,Unknown,"Krakoryd, Sweden Bloomington, IL",Male,Not boarded,0,0,3,Southampton,0
26,Not found,Unknown,"Krakudden, Sweden Moune, IL",Male,Not boarded,0,0,3,Southampton,0
27,Not found,Unknown,"Lake Arthur, Chavez County, NM",Male,Not boarded,0,0,2,Southampton,0
25,Not found,Unknown,Liverpool,Male,Not boarded,0,0,2,Southampton,0
16,Not found,Unknown,"Liverpool / Montreal, PQ",Male,Not boarded,0,0,2,Southampton,0
29.87093690248566,Not found,Unknown,"Liverpool, England / Belfast",Male,Not boarded,0,0,1,Southampton,0
29.87093690248566,Not found,Unknown,"Liverpool, England Bedford, OH",Female,16,0,1,3,Southampton,1
29.87093690248566,Not found,Unknown,"Liverpool, England Bedford, OH",Male,Not boarded,0,1,3,Southampton,0
94,Not found,Unknown,London,Female,12,4,3,6,Southampton,3
44,Not found,Unknown,London,Female,Not boarded,0,1,2,Southampton,0
62,Not found,Unknown,London,Male,15,0,0,2,Southampton,1
234,Not found,Unknown,London,Male,Not boarded,0,2,14,Southampton,0
29.87093690248566,Not found,Unknown,"London / Chicago, IL",Female,11,0,0,2,Southampton,1
24,Not found,Unknown,"London / Fort Byron, NY",Male,9,0,0,2,Southampton,1
45,Not found,Unknown,"London / New York, NY",Female,9,0,0,2,Southampton,1
30,Not found,Unknown,"London / New York, NY",Male,Not boarded,0,0,1,Southampton,0
28,Not found,Unknown,"London / Staten Island, NY",Female,13,0,0,2,Southampton,1
18,Not found,Unknown,"London Brooklyn, NY",Male,12,0,0,3,Southampton,1
23,Not found,Unknown,"London New York, NY",Female,Not boarded,0,0,3,Southampton,1
18,Not found,Unknown,"London Skanteales, NY",Female,C,0,0,3,Southampton,1
31,Not found,Unknown,"London, England",Male,9,0,0,2,Southampton,1
50,Not found,Unknown,"London, England / Marietta, Ohio and Milwaukee, WI",Female,13,0,0,2,Southampton,1
18,Not found,Unknown,"London, England Norfolk, VA",Female,13,1,0,3,Southampton,1
1,Not found,Unknown,"London, England Norfolk, VA",Male,11,1,0,3,Southampton,1
29.87093690248566,Not found,Unknown,"Los Angeles, CA",Male,9,0,0,1,Southampton,1
35,Not found,Unknown,"Lower Clapton, Middlesex or Erdington, Birmingham",Male,Not boarded,0,0,3,Southampton,0
24,Not found,Unknown,"Lucca, Italy / California",Female,12,0,1,2,Cherbourg,1
18,Not found,Unknown,"Lyndhurst, England",Male,Not boarded,0,0,2,Southampton,0
66,Not found,Unknown,"Mamaroneck, NY",Female,14,0,0,4,Southampton,2
20,Not found,Unknown,"Medeltorp, Sweden Chicago, IL",Female,Not boarded,0,0,3,Southampton,0
59,Not found,Unknown,"Merrill, WI",Male,Not boarded,0,0,3,Southampton,0
40,Not found,Unknown,"Mexico City, Mexico",Male,Not boarded,0,0,1,Cherbourg,0
39,Not found,Unknown,"Middleburg Heights, OH",Male,Not boarded,0,0,2,Southampton,0
30,Not found,Unknown,"Milford, NH",Male,14,0,0,2,Cherbourg,1
26,Not found,Unknown,"Minneapolis, MN",Female,Not boarded,1,1,2,Southampton,0
30,Not found,Unknown,"Minneapolis, MN",Male,Not boarded,1,1,2,Southampton,0
45,Not found,Unknown,"Montevideo, Uruguay",Male,Not boarded,0,0,2,Southampton,0
24,Not found,Unknown,"Moscow / Bronx, NY",Female,12,0,1,2,Southampton,1
19,Not found,Unknown,"Myren, Sweden New York, NY",Male,Not boarded,0,0,3,Southampton,0
39,Not found,Unknown,"New Forest, England",Male,Not boarded,0,0,4,Southampton,0
5,Not found,Unknown,"New York, NY",Female,13,0,0,3,Southampton,1
29.87093690248566,Not found,Unknown,"New York, NY",Female,5,0,0,1,Cherbourg,1
29.87093690248566,Not found,Unknown,"New York, NY",Female,5,0,1,1,Southampton,1
83.87093690248565,Not found,Unknown,"New York, NY",Female,6,0,2,2,Cherbourg,2
67,Not found,Unknown,"New York, NY",Female,7,2,0,2,Cherbourg,2
29.87093690248566,Not found,Unknown,"New York, NY",Female,7,0,0,1,Southampton,1
35,Not found,Unknown,"New York, NY",Female,8,0,1,1,Southampton,1
29.87093690248566,Not found,Unknown,"New York, NY",Female,D,0,0,1,Cherbourg,1
14,Not found,Unknown,"New York, NY",Female,Not boarded,0,1,2,Cherbourg,1
27,Not found,Unknown,"New York, NY",Female,Not boarded,0,0,3,Queenstown,0
42,Not found,Unknown,"New York, NY",Female,Not boarded,0,0,2,Southampton,1
29.87093690248566,Not found,Unknown,"New York, NY",Male,1,0,0,1,Southampton,1
29.87093690248566,Not found,Unknown,"New York, NY",Male,14,0,0,1,Cherbourg,0
50,Not found,Unknown,"New York, NY",Male,5,0,2,1,Southampton,1
34,Not found,Unknown,"New York, NY",Male,7,0,0,1,Southampton,1
45,Not found,Unknown,"New York, NY",Male,9,0,0,1,Southampton,1
153.87093690248565,Not found,Unknown,"New York, NY",Male,Not boarded,0,2,6,Cherbourg,0
25,Not found,Unknown,"New York, NY",Male,Not boarded,0,0,3,Queenstown,0
85.87093690248565,Not found,Unknown,"New York, NY",Male,Not boarded,0,0,2,Southampton,0
26,Not found,Unknown,"Newark, NJ",Male,Not boarded,0,0,2,Southampton,0
22,Not found,Unknown,"Norrlot, Sweden Chicago, IL",Female,Not boarded,0,0,3,Southampton,0
47,Not found,Unknown,"North Evington, England",Male,Not boarded,0,0,2,Southampton,0
16,Not found,Unknown,"Norway Los Angeles, CA",Female,16,0,0,3,Southampton,1
19,Not found,Unknown,"Norwich / New York, NY",Female,13,0,1,2,Southampton,1
32,Not found,Unknown,"Norwich / New York, NY",Male,13,0,1,2,Southampton,1
23,Not found,Unknown,"Oskarshamn, Sweden Minneapolis, MN",Male,13,0,0,3,Southampton,1
18,Not found,Unknown,"Oslo, Norway Bayonne, NJ",Male,Not boarded,0,0,2,Southampton,0
45,Not found,Unknown,"Ottawa, ON",Female,C,0,0,3,Cherbourg,1
29.87093690248566,Not found,Unknown,"Ottawa, ON",Female,Not boarded,0,1,3,Cherbourg,0
80.87093690248565,Not found,Unknown,"Ottawa, ON",Male,Not boarded,0,1,9,Cherbourg,0
24,Not found,Unknown,Paris,Female,Not boarded,0,0,2,Southampton,0
27,Not found,Unknown,Paris,Male,Not boarded,0,0,2,Cherbourg,0
29.87093690248566,Not found,Unknown,"Paris /  New York, NY",Male,A,0,0,1,Southampton,1
26,Not found,Unknown,Paris / Haiti,Female,14,6,3,6,Cherbourg,3
25,Not found,Unknown,Paris / Haiti,Male,Not boarded,2,1,2,Cherbourg,0
24,Not found,Unknown,"Paris / Montreal, PQ",Female,10,1,1,2,Cherbourg,1
1,Not found,Unknown,"Paris / Montreal, PQ",Male,10,2,0,2,Cherbourg,1
54,Not found,Unknown,"Paris / Montreal, PQ",Male,Not boarded,1,1,4,Cherbourg,0
29.87093690248566,Not found,Unknown,"Paris, France",Male,7,0,0,1,Cherbourg,1
39,Not found,Unknown,"Penzance, Cornwall / Akron, OH",Male,Not boarded,0,0,4,Southampton,0
27,Not found,Unknown,"Philadelphia, PA",Male,3,0,0,1,Southampton,1
29.87093690248566,Not found,Unknown,"Philadelphia, PA",Male,Not boarded,0,0,1,Cherbourg,0
31,Not found,Unknown,"Philadelphia, PA",Male,Not boarded,0,0,3,Queenstown,0
74,Not found,Unknown,"Philadelphia, PA",Male,Not boarded,0,0,5,Southampton,0
43,Not found,Unknown,"Plymouth, Devon / Detroit, MI",Female,11,4,2,6,Southampton,3
28,Not found,Unknown,"Plymouth, Dorset / Houghton, MI",Male,Not boarded,0,0,2,Southampton,0
27,Not found,Unknown,"Plymouth, England",Female,Not boarded,0,1,2,Southampton,0
29,Not found,Unknown,"Plymouth, England",Male,Not boarded,0,1,2,Southampton,0
22,Not found,Unknown,"Pondersend, England / New Durham, NJ",Male,13,0,0,2,Southampton,1
58,Not found,Unknown,Portugal,Male,Not boarded,0,0,6,Southampton,0
32,Not found,Unknown,"Portugal / Sau Paulo, Brazil",Male,Not boarded,0,0,2,Southampton,0
30,Not found,Unknown,"Provo, UT",Female,Not boarded,0,0,2,Southampton,0
29.87093690248566,Not found,Unknown,"Roachdale, IN",Male,Not boarded,0,0,1,Southampton,0
19,Not found,Unknown,"Rochester, NY",Female,12,0,0,2,Southampton,1
46,Not found,Unknown,"Rochester, NY",Male,Not boarded,0,0,2,Southampton,0
78,Not found,Unknown,"Rotherfield, Sussex, England Essex Co, MA",Female,Not boarded,7,5,9,Southampton,0
34,Not found,Unknown,"Rotherfield, Sussex, England Essex Co, MA",Male,Not boarded,5,3,6,Southampton,0
38,Not found,Unknown,"Rotterdam, Netherlands",Male,Not boarded,0,0,1,Southampton,0
17,Not found,Unknown,"Ruotsinphyhtaa, Finland New York, NY",Female,D,2,4,3,Southampton,1
33,Not found,Unknown,"Ruotsinphytaa, Finland New York, NY",Female,Not boarded,0,3,3,Southampton,1
32,Not found,Unknown,"Ruotsinphytaa, Finland New York, NY",Male,D,0,1,3,Southampton,0
28,Not found,Unknown,"Ruotsinphytaa, Finland New York, NY",Male,Not boarded,0,2,3,Southampton,0
32,Not found,Unknown,Russia,Female,9,0,0,2,Southampton,1
28,Not found,Unknown,"Russia New York, NY",Female,10,0,1,2,Cherbourg,1
30,Not found,Unknown,"Russia New York, NY",Male,Not boarded,0,1,2,Cherbourg,0
20,Not found,Unknown,"Salo, Finland Astoria, OR",Male,Not boarded,0,0,3,Southampton,0
30,Not found,Unknown,"Sarnia, ON",Male,Not boarded,0,0,2,Southampton,0
59,Not found,Unknown,"Sault St Marie, ON",Male,Not boarded,0,0,2,Southampton,0
36,Not found,Unknown,"Sittingbourne, England / San Diego, CA",Female,9,0,0,2,Southampton,1
20,Not found,Unknown,"Skara, Sweden / Rockford, IL",Female,12,0,1,2,Southampton,1
25,Not found,Unknown,"Skara, Sweden / Rockford, IL",Male,Not boarded,0,1,2,Southampton,0
96,Not found,Unknown,"Somerset / Bernardsville, NJ",Female,9,6,3,6,Southampton,3
63,Not found,Unknown,"Somerset / Bernardsville, NJ",Male,Not boarded,2,1,4,Southampton,0
52,Not found,Unknown,Southampton,Female,Not boarded,2,0,4,Southampton,2
28,Not found,Unknown,Spain,Female,9,0,0,2,Southampton,1
58.87093690248566,Not found,Unknown,"Spain / Havana, Cuba",Male,9,0,0,4,Cherbourg,2
28,Not found,Unknown,"St Andrews, Guernsey",Male,Not boarded,0,0,2,Southampton,0
30,Not found,Unknown,"St Austall, Cornwall",Male,Not boarded,0,0,2,Southampton,0
28,Not found,Unknown,"St Denys, Southampton, Hants",Male,Not boarded,0,0,3,Southampton,0
23,Not found,Unknown,"St Ives, Cornwall / Calumet, MI",Male,Not boarded,0,0,2,Southampton,0
48,Not found,Unknown,"St Ives, Cornwall / Hancock, MI",Female,14,2,0,2,Southampton,1
8,Not found,Unknown,"St Ives, Cornwall / Hancock, MI",Male,14,1,1,2,Southampton,1
32,Not found,Unknown,"St Ives, Cornwall / Houghton, MI",Male,Not boarded,0,0,2,Southampton,0
28,Not found,Unknown,"Stanton, IA",Female,Not boarded,1,1,3,Southampton,0
0,Not found,Unknown,"Stanton, IA",Male,Not boarded,2,0,3,Southampton,0
55,Not found,Unknown,"Stockholm, Sweden",Female,6,0,0,1,Cherbourg,1
42,Not found,Unknown,"Stockholm, Sweden",Male,Not boarded,0,0,1,Southampton,0
18,Not found,Unknown,"Stockholm, Sweden New York",Male,Not boarded,0,0,3,Southampton,0
31,Not found,Unknown,"Strood, Kent, England Detroit, MI",Female,C D,1,1,3,Southampton,1
9,Not found,Unknown,"Strood, Kent, England Detroit, MI",Male,C D,2,0,3,Southampton,1
33,Not found,Unknown,"Strood, Kent, England Detroit, MI",Male,Not boarded,1,1,3,Southampton,0
38,Not found,Unknown,"Sweden  Worcester, MA",Female,15,5,1,3,Southampton,1
5,Not found,Unknown,"Sweden  Worcester, MA",Male,Not boarded,2,4,3,Southampton,0
40,Not found,Unknown,"Sweden Akeley, MN",Female,Not boarded,0,1,3,Southampton,0
20,Not found,Unknown,"Sweden Chicago, IL",Male,Not boarded,0,0,3,Southampton,0
24,Not found,Unknown,"Sweden Joliet, IL",Male,Not boarded,0,0,3,Southampton,0
67,Not found,Unknown,"Sweden Winnipeg, MN",Female,Not boarded,13,17,15,Southampton,0
43,Not found,Unknown,"Sweden Winnipeg, MN",Male,Not boarded,7,5,6,Southampton,0
5,Not found,Unknown,"Sweden Worcester, MA",Female,15,2,4,3,Southampton,1
3,Not found,Unknown,"Sweden Worcester, MA",Male,15,2,4,3,Southampton,1
44,Not found,Unknown,"Sweden Worcester, MA",Male,Not boarded,4,8,9,Southampton,0
60,Not found,Unknown,"Swindon, England",Female,Not boarded,0,1,2,Southampton,0
63,Not found,Unknown,"Swindon, England",Male,Not boarded,0,1,2,Southampton,0
64.87093690248565,Not found,Unknown,Syria,Male,Not boarded,1,1,9,Cherbourg,0
26,Not found,Unknown,"Syria Fredericksburg, VA",Male,15,0,0,3,Cherbourg,1
38.87093690248566,Not found,Unknown,"Syria Kent, ON",Female,Not boarded,3,1,6,Cherbourg,0
6,Not found,Unknown,"Syria Kent, ON",Male,Not boarded,1,1,3,Cherbourg,0
31,Not found,Unknown,"Syria New York, NY",Female,C,6,6,12,Cherbourg,4
63,Not found,Unknown,"Syria Ottawa, ON",Female,Not boarded,2,0,6,Cherbourg,0
39,Not found,Unknown,"Syria Ottawa, ON",Male,Not boarded,2,0,3,Cherbourg,0
13,Not found,Unknown,"Syria Youngstown, OH",Female,C,0,0,3,Cherbourg,1
20,Not found,Unknown,"Taalintehdas, Finland Hoboken, NJ",Male,15,0,0,3,Southampton,1
36,Not found,Unknown,"Tampico, MT",Female,13,0,1,3,Southampton,1
36,Not found,Unknown,"Tampico, MT",Male,15,0,1,3,Southampton,1
18,Not found,Unknown,"Tofta, Sweden Joliet, IL",Male,Not boarded,0,0,3,Southampton,0
42,Not found,Unknown,"Tokyo, Japan",Male,10,0,0,2,Southampton,1
22,Not found,Unknown,"Tranvik, Finland New York",Male,Not boarded,0,0,3,Southampton,0
21,Not found,Unknown,"Treherbert, Cardiff, Wales",Male,Not boarded,0,0,3,Southampton,0
30,Not found,Unknown,"Union Hill, NJ",Female,13,0,0,3,Southampton,1
52.87093690248566,Not found,Unknown,Unknown,Female,10,0,1,6,Southampton,2
67,Not found,Unknown,Unknown,Female,11,0,1,4,Southampton,2
149.3546845124283,Not found,Unknown,Unknown,Female,13,0,0,15,Queenstown,5
70,Not found,Unknown,Unknown,Female,13,0,0,9,Southampton,3
16,Not found,Unknown,Unknown,Female,14,1,1,3,Cherbourg,1
4,Not found,Unknown,Unknown,Female,15,1,0,3,Cherbourg,1
53.87093690248566,Not found,Unknown,Unknown,Female,15,0,0,6,Queenstown,2
157,Not found,Unknown,Unknown,Female,15,5,3,21,Southampton,7
29.87093690248566,Not found,Unknown,Unknown,Female,15 16,0,0,3,Queenstown,1
328.58030592734224,Not found,Unknown,Unknown,Female,16,0,7,33,Queenstown,11
66,Not found,Unknown,Unknown,Female,16,0,2,8,Southampton,3
30,Not found,Unknown,Unknown,Female,2,0,0,1,Cherbourg,1
69,Not found,Unknown,Unknown,Female,2,3,1,7,Southampton,3
35,Not found,Unknown,Unknown,Female,3,0,0,1,Cherbourg,1
101.87093690248565,Not found,Unknown,Unknown,Female,4,0,0,3,Cherbourg,3
26,Not found,Unknown,Unknown,Female,6,0,0,1,Southampton,1
33,Not found,Unknown,Unknown,Female,8,0,0,1,Southampton,1
40,Not found,Unknown,Unknown,Female,9,0,0,2,Southampton,1
30,Not found,Unknown,Unknown,Female,A,0,1,3,Southampton,0
184.7418738049713,Not found,Unknown,Unknown,Female,C,8,3,27,Cherbourg,9
147.7418738049713,Not found,Unknown,Unknown,Female,C,0,0,18,Southampton,6
29.87093690248566,Not found,Unknown,Unknown,Female,D,2,0,3,Cherbourg,1
89.61281070745699,Not found,Unknown,Unknown,Female,D,0,0,9,Queenstown,3
18,Not found,Unknown,Unknown,Female,D,0,0,3,Southampton,1
121.61281070745699,Not found,Unknown,Unknown,Female,Not boarded,0,3,15,Cherbourg,2
464.4512428298279,Not found,Unknown,Unknown,Female,Not boarded,0,2,51,Queenstown,4
1495.9349904397704,Not found,Unknown,Unknown,Female,Not boarded,55,72,177,Southampton,4
54,Not found,Unknown,Unknown,Male,11,0,0,6,Southampton,2
97.87093690248565,Not found,Unknown,Unknown,Male,13,1,0,15,Southampton,5
22,Not found,Unknown,Unknown,Male,13 15,0,0,3,Cherbourg,1
25,Not found,Unknown,Unknown,Male,13 15,0,0,3,Southampton,1
